agent-1  | 2026-09-12T01:04:34.161443Z [info     ] publisher.event_published      event_id=f01c6cd0-1776-4730-b005-988c343fa560
agent-1  | 2026-09-12T01:04:34.163813Z [info     ] detector.change_detected       event_id=f01c6cd0-1776-4730-b005-988c343fa560 event_type=file_modified path=/watch/latency-ext-059.txt
agent-1  | 2026-09-12T01:04:34.172859Z [info     ] publisher.event_acked          event_id=f01c6cd0-1776-4730-b005-988c343fa560
agent-1  | 2026-09-12T01:04:34.238125Z [warning  ] detector.out_of_scope_drop     path=/runc-process4232098938 total_drops=48
agent-1  | 2026-09-12T01:04:34.238508Z [warning  ] detector.out_of_scope_drop     path=/runc-process4232098938 total_drops=49
agent-1  | 2026-09-12T01:04:34.250962Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=c9005e0e-f724-409c-983e-6a7e0dfd4112 path=/watch/latency-ext-060.txt
agent-1  | 2026-09-12T01:04:34.255136Z [info     ] publisher.event_published      event_id=c9005e0e-f724-409c-983e-6a7e0dfd4112
agent-1  | 2026-09-12T01:04:34.256553Z [info     ] detector.change_detected       event_id=c9005e0e-f724-409c-983e-6a7e0dfd4112 event_type=file_modified path=/watch/latency-ext-060.txt
agent-1  | 2026-09-12T01:04:34.261184Z [info     ] publisher.event_acked          event_id=c9005e0e-f724-409c-983e-6a7e0dfd4112
agent-1  | 2026-09-12T01:04:34.270742Z [warning  ] detector.out_of_scope_drop     path=/runc-process4232098938 total_drops=50
agent-1  | 2026-09-12T01:04:34.340581Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=c6071ad3-04d7-4638-b98e-ba8635f91f92 path=/watch/latency-ext-061.txt
agent-1  | 2026-09-12T01:04:34.347342Z [info     ] publisher.event_published      event_id=c6071ad3-04d7-4638-b98e-ba8635f91f92
agent-1  | 2026-09-12T01:04:34.349154Z [info     ] detector.change_detected       event_id=c6071ad3-04d7-4638-b98e-ba8635f91f92 event_type=file_modified path=/watch/latency-ext-061.txt
agent-1  | 2026-09-12T01:04:34.359434Z [info     ] publisher.event_acked          event_id=c6071ad3-04d7-4638-b98e-ba8635f91f92
agent-1  | 2026-09-12T01:04:34.454910Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=f00b731c-daa8-4ad2-9e78-b1cf515fc867 path=/watch/latency-ext-062.txt
agent-1  | 2026-09-12T01:04:34.461527Z [info     ] publisher.event_published      event_id=f00b731c-daa8-4ad2-9e78-b1cf515fc867
agent-1  | 2026-09-12T01:04:34.464015Z [info     ] detector.change_detected       event_id=f00b731c-daa8-4ad2-9e78-b1cf515fc867 event_type=file_modified path=/watch/latency-ext-062.txt
agent-1  | 2026-09-12T01:04:34.473070Z [info     ] publisher.event_acked          event_id=f00b731c-daa8-4ad2-9e78-b1cf515fc867
agent-1  | 2026-09-12T01:04:34.524866Z [warning  ] detector.out_of_scope_drop     path=/runc-process756726745 total_drops=51
