[2026-09-17T22:41:16.789224727Z] === Batería 5 — etiqueta=nominal rate_limit=100/60s ===
[2026-09-17T22:41:16.801053312Z] candidato=7a906c202e417aec5f03d9a7545e216a724aca81 arbol=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T22:41:17.126909036Z] eventos_iniciales=0 cola_inicial=-1
[2026-09-17T22:41:17.132958287Z] --- fase 1: detener el backend (corte de 5 minutos) ---
[2026-09-17T22:41:18.221916342Z] backend detenido
[2026-09-17T22:41:18.228917042Z] --- fase 2: generar 3000 cambios a 10/s durante 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T22:41:18.947892+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00070/3000] modify revertido  /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:25.853302+00:00
 [00071/3000] modify simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T22:41:25.953492+00:00
 [00072/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:26.053058+00:00
 [00073/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:26.152788+00:00
 [00074/3000] create simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:41:26.252465+00:00
 [00075/3000] create simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T22:41:26.352678+00:00
 [00076/3000] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:41:26.452553+00:00
 [00077/3000] modify revertido  /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:41:26.552451+00:00
 [00078/3000] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:41:26.653085+00:00
 [00079/3000] modify simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:26.752765+00:00
 [00080/3000] delete simple     /srv/fim-watch/gen_00004.txt ts=2026-09-17T22:41:26.852836+00:00
 [00081/3000] delete simple     /srv/fim-watch/gen_00014.txt ts=2026-09-17T22:41:26.952663+00:00
 [00082/3000] modify simple     /srv/fim-watch/gen_00016.txt ts=2026-09-17T22:41:27.052823+00:00
 [00083/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:41:27.152557+00:00
 [00084/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:41:27.252799+00:00
 [00085/3000] create efimero    /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:41:27.352693+00:00
 [00086/3000] delete efimero    /srv/fim-watch/gen_00017.txt ts=2026-09-17T22:41:27.453081+00:00
 [00087/3000] modify revertido  /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:27.552819+00:00
 [00088/3000] modify revertido  /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:27.653303+00:00
 [00089/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:41:27.752912+00:00
 [00090/3000] modify revertido  /srv/fim-watch/gen_00016.txt ts=2026-09-17T22:41:27.852791+00:00
 [00091/3000] modify revertido  /srv/fim-watch/gen_00016.txt ts=2026-09-17T22:41:27.952786+00:00
 [00092/3000] create simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:28.052612+00:00
 [00093/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:41:28.152786+00:00
 [00094/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:41:28.252772+00:00
 [00095/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:41:28.352984+00:00
 [00096/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:41:28.453304+00:00
 [00097/3000] modify colapsado  /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:41:28.552911+00:00
 [00098/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:28.653082+00:00
 [00099/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:28.753064+00:00
