========================================================================
generador_carga.py — arranque 2026-09-18T02:11:45.884765+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00088/500] delete simple     /srv/fim-watch/gen_00016.txt ts=2026-09-18T02:16:59.061660+00:00
 [00089/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T02:17:02.661659+00:00
 [00090/500] create efimero    /srv/fim-watch/critico/gen_00018.txt ts=2026-09-18T02:17:06.261132+00:00
 [00091/500] delete efimero    /srv/fim-watch/critico/gen_00018.txt ts=2026-09-18T02:17:09.860753+00:00
 [00092/500] modify simple     /srv/fim-watch/critico/gen_00010.txt ts=2026-09-18T02:17:13.460613+00:00
 [00093/500] delete simple     /srv/fim-watch/gen_00003.txt ts=2026-09-18T02:17:17.060284+00:00
 [00094/500] create simple     /srv/fim-watch/gen_00019.txt ts=2026-09-18T02:17:20.660335+00:00
 [00095/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:17:24.259737+00:00
 [00096/500] create simple     /srv/fim-watch/gen_00020.txt ts=2026-09-18T02:17:27.859779+00:00
 [00097/500] modify simple     /srv/fim-watch/gen_00017.txt ts=2026-09-18T02:17:31.459421+00:00
 [00098/500] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T02:17:35.059334+00:00
 [00099/500] create simple     /srv/fim-watch/critico/gen_00021.txt ts=2026-09-18T02:17:38.658849+00:00
 [00100/500] create simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-18T02:17:42.258442+00:00
 [00101/500] modify simple     /srv/fim-watch/critico/gen_00011.txt ts=2026-09-18T02:17:45.858628+00:00
 [00102/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T02:17:49.458084+00:00
