operation_id,case,operation,expected_detection,kernel_seen,suppressed,decision_seen,queue_persisted,xadd_succeeded,xadd_failed,acknowledged,backend_persisted,backend_status,backend_received_at,event_ids,stages,interpretation
absence-20260910T052521Z-r2:41,C_delete,delete,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:24.910739+00:00,fb747147-4252-438c-95f8-ccea908327f1,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:42,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:25.086476+00:00,01a26ce9-8dd4-4a5d-8f33-fddfaebc5995,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:43,B_sucesivo_c1,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:30.910912+00:00,aaa4972d-d09d-41bc-aa9a-0fc9e5ac7f2c,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:44,B_sucesivo_c2,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:33.909694+00:00,dc68b201-1282-4db0-95de-7211fa7e349a,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:45,B_retorno_baseline_aprobada,modify,False,True,True,False,False,False,False,False,not_applicable,,,,baseline_read|decision_suppressed|kernel_received,suppressed_by_active_baseline
absence-20260910T052521Z-r2:46,C_create,create,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:39.914510+00:00,9131fe74-1fa4-4a8a-9199-bcc6ca767523,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:47,C_delete,delete,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:42.915928+00:00,e383d093-0480-4225-b03e-6dd354852b6e,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:48,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:43.098002+00:00,96bb7807-c940-4473-bea3-86840f9a4a64,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:49,B_sucesivo_c1,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:48.907777+00:00,b555b0dc-c788-484f-8dd3-773eb3cf150d,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:50,B_sucesivo_c2,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:28:51.913044+00:00,1fe02cc6-e4ac-4af9-bcd2-946557e649a6,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:51,B_retorno_baseline_aprobada,modify,False,True,True,False,False,False,False,False,not_applicable,,,,baseline_read|decision_suppressed|kernel_received,suppressed_by_active_baseline
absence-20260910T052521Z-r2:52,C_create,create,True,True,True,True,True,True,False,True,True,alert_only,2026-09-10 05:28:57.924404+00:00,ba660298-037e-4462-881f-69ec29724017,ack_valid|baseline_read|change_classified|decision_evaluated|decision_suppressed|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:53,C_delete,delete,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:29:00.924569+00:00,df09814d-9abe-47b3-b368-957fe09a13e1,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:54,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:29:01.104011+00:00,7fc735a2-c23a-454e-97d3-2256f594681d,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:55,B_sucesivo_c1,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:29:06.923132+00:00,736ee971-4047-467b-8c71-da3b04189864,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:56,B_sucesivo_c2,modify,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:29:09.915582+00:00,ccb513b3-b0ac-4e06-93bc-826ce2b0b7bf,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:57,B_retorno_baseline_aprobada,modify,False,True,True,False,False,False,False,False,not_applicable,,,,baseline_read|decision_suppressed|kernel_received,suppressed_by_active_baseline
absence-20260910T052521Z-r2:58,C_create,create,True,True,True,True,True,True,False,True,True,alert_only,2026-09-10 05:29:15.920439+00:00,294fbd22-84f4-45ed-b9d6-c3f526eda2ff,ack_valid|baseline_read|change_classified|decision_evaluated|decision_suppressed|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:59,C_delete,delete,True,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:29:18.923937+00:00,4f8eef5a-c136-4880-9ab2-bc776adec0ab,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
absence-20260910T052521Z-r2:60,D_ephemeral,ephemeral,,True,False,True,True,True,False,True,True,alert_only,2026-09-10 05:29:19.099366+00:00,53ad567e-a951-43b2-a29f-362a0c687cec,ack_valid|baseline_read|change_classified|decision_evaluated|kernel_received|queue_enqueue_persisted|xadd_succeeded,fully_correlated
