[2026-09-17T23:39:52.269131524Z] === Battery 5 — label=nominal rate_limit=100/60s ===
[2026-09-17T23:39:52.279718316Z] candidate=7a906c202e417aec5f03d9a7545e216a724aca81 tree=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T23:39:52.836750908Z] initial: events=0 queue+discarded=0 0 valkey_6380=1
[2026-09-17T23:39:52.843913913Z] --- phase 1: stop the backend (5-minute outage) ---
[2026-09-17T23:39:53.985860293Z] backend stopped; valkey_6380=1
[2026-09-17T23:39:53.992112263Z] --- phase 2: generate 3000 changes at 10/s over 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T23:39:54.360999+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00177/3000] create simple     /srv/fim-watch/gen_00033.txt ts=2026-09-17T23:40:11.966721+00:00
 [00178/3000] modify simple     /srv/fim-watch/gen_00029.txt ts=2026-09-17T23:40:12.066967+00:00
 [00179/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:40:12.166405+00:00
 [00180/3000] modify revertido  /srv/fim-watch/gen_00027.txt ts=2026-09-17T23:40:12.266599+00:00
 [00181/3000] modify revertido  /srv/fim-watch/gen_00027.txt ts=2026-09-17T23:40:12.366158+00:00
 [00182/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T23:40:12.466620+00:00
 [00183/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T23:40:12.566191+00:00
 [00184/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T23:40:12.666394+00:00
 [00185/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T23:40:12.766780+00:00
 [00186/3000] modify colapsado  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-17T23:40:12.866454+00:00
 [00187/3000] create efimero    /srv/fim-watch/gen_00034.txt ts=2026-09-17T23:40:12.966247+00:00
 [00188/3000] delete efimero    /srv/fim-watch/gen_00034.txt ts=2026-09-17T23:40:13.066285+00:00
 [00189/3000] create simple     /srv/fim-watch/gen_00035.txt ts=2026-09-17T23:40:13.166354+00:00
 [00190/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:13.266680+00:00
 [00191/3000] modify simple     /srv/fim-watch/gen_00035.txt ts=2026-09-17T23:40:13.366616+00:00
 [00192/3000] modify simple     /srv/fim-watch/gen_00031.txt ts=2026-09-17T23:40:13.466492+00:00
 [00193/3000] modify revertido  /srv/fim-watch/gen_00033.txt ts=2026-09-17T23:40:13.566382+00:00
 [00194/3000] modify revertido  /srv/fim-watch/gen_00033.txt ts=2026-09-17T23:40:13.666442+00:00
 [00195/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T23:40:13.766455+00:00
 [00196/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T23:40:13.866437+00:00
 [00197/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T23:40:13.966428+00:00
 [00198/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T23:40:14.066432+00:00
 [00199/3000] modify colapsado  /srv/fim-watch/gen_00029.txt ts=2026-09-17T23:40:14.166558+00:00
 [00200/3000] modify simple     /srv/fim-watch/gen_00022.txt ts=2026-09-17T23:40:14.266629+00:00
 [00201/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T23:40:14.366174+00:00
 [00202/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:14.466465+00:00
 [00203/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T23:40:14.566373+00:00
 [00204/3000] create simple     /srv/fim-watch/gen_00036.txt ts=2026-09-17T23:40:14.666328+00:00
 [00205/3000] delete simple     /srv/fim-watch/gen_00030.txt ts=2026-09-17T23:40:14.766425+00:00
 [00206/3000] modify simple     /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:14.866418+00:00
 [00207/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T23:40:14.966673+00:00
 [00208/3000] modify revertido  /srv/fim-watch/gen_00028.txt ts=2026-09-17T23:40:15.066533+00:00
 [00209/3000] modify revertido  /srv/fim-watch/gen_00028.txt ts=2026-09-17T23:40:15.166442+00:00
 [00210/3000] modify revertido  /srv/fim-watch/gen_00016.txt ts=2026-09-17T23:40:15.266386+00:00
 [00211/3000] modify revertido  /srv/fim-watch/gen_00016.txt ts=2026-09-17T23:40:15.366151+00:00
 [00212/3000] modify simple     /srv/fim-watch/gen_00029.txt ts=2026-09-17T23:40:15.466445+00:00
 [00213/3000] create simple     /srv/fim-watch/critico/gen_00037.txt ts=2026-09-17T23:40:15.566514+00:00
 [00214/3000] modify colapsado  /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:15.666418+00:00
 [00215/3000] modify colapsado  /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:15.766459+00:00
 [00216/3000] modify colapsado  /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:15.866640+00:00
 [00217/3000] modify colapsado  /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:15.966427+00:00
 [00218/3000] modify colapsado  /srv/fim-watch/gen_00024.txt ts=2026-09-17T23:40:16.066451+00:00
 [00219/3000] create simple     /srv/fim-watch/gen_00038.txt ts=2026-09-17T23:40:16.166286+00:00
