event_id,path,event_type,status,severity,detected_at,received_at
019ee819-a555-4601-a064-67a285e72d71,/srv/fim-watch/gen_00360.txt,file_deleted,alert_only,high,2026-09-18 03:00:46.10359+00,2026-09-18 03:03:14.659137+00
1210cc35-4cee-4630-8841-e0520633c27e,/srv/fim-watch/gen_00308.txt,file_modified,alert_only,high,2026-09-18 03:00:46.203199+00,2026-09-18 03:03:14.675+00
10623a34-1b7b-4e75-9ff9-824e50254985,/srv/fim-watch/critico/gen_00361.txt,file_modified,alert_only,critical,2026-09-18 03:00:46.303563+00,2026-09-18 03:03:14.691165+00
9f546089-6d78-469b-8b7f-e0b8bcdaa12c,/srv/fim-watch/gen_00177.txt,file_modified,alert_only,high,2026-09-18 03:00:46.403567+00,2026-09-18 03:03:14.707951+00
89e85a64-830c-43bd-8567-85e1fb471040,/srv/fim-watch/gen_00177.txt,file_modified,alert_only,high,2026-09-18 03:00:46.502697+00,2026-09-18 03:03:14.724786+00
c7aa704f-b239-41f7-97f5-ea5a13868b3b,/srv/fim-watch/gen_00362.txt,file_modified,alert_only,high,2026-09-18 03:00:46.603143+00,2026-09-18 03:03:14.741542+00
55161afb-d1c6-41d1-baee-f25806307762,/srv/fim-watch/gen_00266.txt,file_modified,alert_only,high,2026-09-18 03:00:46.702729+00,2026-09-18 03:03:14.758381+00
8d2669e0-4cc8-476b-91e5-5053d4b21ed6,/srv/fim-watch/gen_00196.txt,file_modified,alert_only,high,2026-09-18 03:00:46.803689+00,2026-09-18 03:03:14.773712+00
76fcbb86-a45f-465e-89ef-7f85c7f78947,/srv/fim-watch/gen_00198.txt,file_modified,alert_only,high,2026-09-18 03:00:46.903748+00,2026-09-18 03:03:14.788442+00
ac22923b-1ae3-4767-b68c-66b1c6a5c376,/srv/fim-watch/gen_00329.txt,file_modified,alert_only,high,2026-09-18 03:00:47.003054+00,2026-09-18 03:03:14.803372+00
9771cb26-7672-4a47-aac7-106ed61ddbf6,/srv/fim-watch/gen_00329.txt,file_modified,alert_only,high,2026-09-18 03:00:47.103553+00,2026-09-18 03:03:14.819984+00
b88d33e8-73cf-40cd-97f7-63a1600bf47f,/srv/fim-watch/gen_00311.txt,file_modified,alert_only,high,2026-09-18 03:00:47.203302+00,2026-09-18 03:03:14.835396+00
75b7fd5d-084c-4e7c-9ccb-34db7cf7f02d,/srv/fim-watch/gen_00363.txt,file_modified,alert_only,high,2026-09-18 03:00:47.303148+00,2026-09-18 03:03:14.852145+00
54425447-f965-427a-9eb0-015a9d4ac89e,/srv/fim-watch/gen_00363.txt,file_deleted,alert_only,high,2026-09-18 03:00:47.403095+00,2026-09-18 03:03:14.874906+00
a62089ac-11d1-4d7f-9a67-b44a4691ebd1,/srv/fim-watch/critico/gen_00053.txt,file_modified,alert_only,critical,2026-09-18 03:00:47.503326+00,2026-09-18 03:03:14.888803+00
