========================================================================
generador_carga.py — arranque 2026-09-18T20:53:57.965728+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260918
  rate_eventos_por_segundo     = 10.0
  count                        = 400
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 0.1
  duracion_estimada_s          = 39.900000000000006
  manifiesto                   = /srv/evidencia/item42_manifiesto.json
  log                          = /srv/evidencia/item42_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00176/400] modify revertido  /srv/fim-watch/critico/gen_00025.txt ts=2026-09-18T20:54:15.467515+00:00
 [00177/400] delete simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T20:54:15.567535+00:00
 [00178/400] modify simple     /srv/fim-watch/gen_00021.txt ts=2026-09-18T20:54:15.667541+00:00
 [00179/400] modify simple     /srv/fim-watch/gen_00029.txt ts=2026-09-18T20:54:15.767365+00:00
 [00180/400] create simple     /srv/fim-watch/gen_00030.txt ts=2026-09-18T20:54:15.867454+00:00
 [00181/400] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T20:54:15.967694+00:00
 [00182/400] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:16.067567+00:00
 [00183/400] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:16.167707+00:00
 [00184/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:16.267588+00:00
 [00185/400] modify simple     /srv/fim-watch/critico/gen_00016.txt ts=2026-09-18T20:54:16.367745+00:00
 [00186/400] create simple     /srv/fim-watch/gen_00031.txt ts=2026-09-18T20:54:16.467389+00:00
 [00187/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:16.567689+00:00
 [00188/400] modify simple     /srv/fim-watch/gen_00030.txt ts=2026-09-18T20:54:16.667594+00:00
 [00189/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:16.767647+00:00
 [00190/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:16.867636+00:00
 [00191/400] create simple     /srv/fim-watch/gen_00032.txt ts=2026-09-18T20:54:16.967401+00:00
 [00192/400] modify simple     /srv/fim-watch/gen_00026.txt ts=2026-09-18T20:54:17.067689+00:00
 [00193/400] modify simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-18T20:54:17.167690+00:00
 [00194/400] create simple     /srv/fim-watch/gen_00033.txt ts=2026-09-18T20:54:17.267358+00:00
 [00195/400] modify simple     /srv/fim-watch/gen_00032.txt ts=2026-09-18T20:54:17.367554+00:00
 [00196/400] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:17.467671+00:00
 [00197/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:17.567552+00:00
 [00198/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:17.667693+00:00
 [00199/400] modify colapsado  /srv/fim-watch/gen_00031.txt ts=2026-09-18T20:54:17.767323+00:00
 [00200/400] modify colapsado  /srv/fim-watch/gen_00031.txt ts=2026-09-18T20:54:17.867524+00:00
 [00201/400] modify colapsado  /srv/fim-watch/gen_00031.txt ts=2026-09-18T20:54:17.967683+00:00
 [00202/400] modify colapsado  /srv/fim-watch/gen_00031.txt ts=2026-09-18T20:54:18.067699+00:00
 [00203/400] modify colapsado  /srv/fim-watch/gen_00031.txt ts=2026-09-18T20:54:18.167615+00:00
 [00204/400] modify simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:18.267617+00:00
 [00205/400] delete simple     /srv/fim-watch/critico/gen_00013.txt ts=2026-09-18T20:54:18.367555+00:00
 [00206/400] create simple     /srv/fim-watch/gen_00034.txt ts=2026-09-18T20:54:18.467395+00:00
 [00207/400] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:18.567608+00:00
 [00208/400] delete simple     /srv/fim-watch/critico/gen_00025.txt ts=2026-09-18T20:54:18.667406+00:00
 [00209/400] modify simple     /srv/fim-watch/critico/gen_00016.txt ts=2026-09-18T20:54:18.767681+00:00
 [00210/400] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-18T20:54:18.867768+00:00
 [00211/400] modify simple     /srv/fim-watch/gen_00021.txt ts=2026-09-18T20:54:18.967569+00:00
 [00212/400] modify simple     /srv/fim-watch/critico/gen_00016.txt ts=2026-09-18T20:54:19.067596+00:00
 [00213/400] modify revertido  /srv/fim-watch/gen_00021.txt ts=2026-09-18T20:54:19.167650+00:00
 [00214/400] modify revertido  /srv/fim-watch/gen_00021.txt ts=2026-09-18T20:54:19.267701+00:00
 [00215/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:19.367688+00:00
 [00216/400] create simple     /srv/fim-watch/critico/gen_00035.txt ts=2026-09-18T20:54:19.467545+00:00
 [00217/400] modify simple     /srv/fim-watch/gen_00030.txt ts=2026-09-18T20:54:19.567616+00:00
 [00218/400] modify simple     /srv/fim-watch/critico/gen_00035.txt ts=2026-09-18T20:54:19.667693+00:00
 [00219/400] modify simple     /srv/fim-watch/critico/gen_00027.txt ts=2026-09-18T20:54:19.767755+00:00
 [00220/400] create simple     /srv/fim-watch/gen_00036.txt ts=2026-09-18T20:54:19.867516+00:00
 [00221/400] modify revertido  /srv/fim-watch/gen_00029.txt ts=2026-09-18T20:54:19.967615+00:00
 [00222/400] modify revertido  /srv/fim-watch/gen_00029.txt ts=2026-09-18T20:54:20.067911+00:00
 [00223/400] create efimero    /srv/fim-watch/gen_00037.txt ts=2026-09-18T20:54:20.167534+00:00
 [00224/400] delete efimero    /srv/fim-watch/gen_00037.txt ts=2026-09-18T20:54:20.267386+00:00
 [00225/400] modify revertido  /srv/fim-watch/gen_00030.txt ts=2026-09-18T20:54:20.367611+00:00
